category_code,events,views,carts,purchases,users_chunk_sum,revenue,avg_price
computers.peripherals.printer,1772026,1698160,53833,20033,507404,4034840.62,234.07644858648788
construction.components.faucet,715306,683271,22577,9458,177176,1570997.84,147.4379102768305
construction.tools.drill,956068,926449,21989,7630,231806,816936.91,169.30957264574732
construction.tools.generator,530488,509417,15937,5134,138974,552517.3,158.67358709796963
construction.tools.light,16572257,14748668,1321315,502274,3540555,215188124.66,188.92980687756582
construction.tools.painting,89398,86126,2519,753,33204,42779.979999999996,137.08439472173998
construction.tools.pump,154575,149198,4206,1171,52574,78469.02,111.5613351451421
construction.tools.saw,555098,529934,19037,6127,147839,796454.53,187.55676131113904
construction.tools.screw,18488,18032,357,99,9336,41838.03,295.39564771923995
construction.tools.soldering,9769,9549,155,65,4666,5043.570000000001,120.11289357440353
construction.tools.welding,676184,647790,22165,6229,224017,798081.5,185.37883789346628
country_yard.cultivator,61053,58256,2262,535,21995,23993.62,214.74272215870653
country_yard.furniture.bench,193,193,0,0,170,0.0,218.5547388414055
country_yard.furniture.hammok,26077,23984,1597,496,12451,25618.21,98.11002130675485
country_yard.lawn_mower,29643,28344,983,316,11763,75304.35,216.64882251183045
electronics.audio.acoustic,417645,402372,10965,4308,130848,772259.55,318.410325054503
electronics.audio.headphone,4291955,3970001,231730,90224,1156172,18763126.58,301.8205881953578
electronics.audio.microphone,299094,290303,6450,2341,94864,262842.45,153.69434804124813
electronics.audio.music_tools.piano,149929,143844,4465,1620,52518,237187.12,178.3062081911876
electronics.audio.subwoofer,986039,952749,22465,10825,215486,1014164.4,98.07300936899684
electronics.camera.photo,271852,254101,13660,4091,66477,379945.77,516.6159182686808
electronics.camera.video,453228,429789,18003,5436,135533,530185.45,261.8521479515075
electronics.clocks,6138538,5867090,192665,78783,1435903,20744277.169999998,286.16644690522696
electronics.smartphone,28724281,26259313,1735324,729644,6056634,338105371.98,426.4918261293298
electronics.tablet,1056985,1001841,40718,14426,293198,3511404.39,270.0376515650696
electronics.telephone,713136,680525,23581,9030,192787,424529.29,91.66115622036315
electronics.video.projector,265710,259405,4732,1573,69971,501796.57,552.1739012984675
electronics.video.tv,3830725,3616307,157651,56767,808781,21868719.93,373.807694281481
furniture.bathroom.bath,308561,289728,13936,4897,89079,362815.43,154.66069397595027
furniture.bathroom.toilet,67561,65509,1520,532,20845,45185.4,125.1643602903448
furniture.bedroom.bed,1397312,1359807,27199,10306,391345,1544995.3,197.2593262996035
furniture.bedroom.blanket,721131,678082,31734,11315,201058,1871792.05,106.64155195785676
furniture.bedroom.pillow,63752,61945,1319,488,20156,11574.83,38.95778574219219
furniture.kitchen.chair,637702,606687,23821,7194,183101,359486.97,70.65082420978457
furniture.kitchen.table,740354,713250,20835,6269,226692,520562.56,156.28239502691613
furniture.living_room.cabinet,1020310,999227,14900,6183,271263,1282854.79,212.70366078181436
furniture.living_room.chair,417517,404116,10332,3069,139599,245448.63,117.42829781696103
furniture.living_room.shelving,16128,15738,309,81,7825,4915.36,74.10811395858299
furniture.living_room.sofa,1043343,1024372,14153,4818,265128,2249715.33,587.446770854854
furniture.universal.light,103230,97432,4549,1249,36463,24359.56,194.55340327787238
kids.carriage,622791,606447,10875,5469,124965,1007927.22,251.43722658708126
kids.dolls,342928,331356,8841,2731,137671,199192.61,68.74549925413254
kids.fmcg.diapers,77458,72463,3210,1785,31347,33464.56,43.873146630675336
kids.skates,531280,513707,13105,4468,141865,779957.21,280.2800083048017
kids.swing,260268,247697,9530,3041,83349,291627.97000000003,145.57954946460072
kids.toys,1254178,1207196,35514,11468,447814,1104041.85,63.67079073888666
medicine.tools.tonometer,57162,53775,2528,859,17067,34394.68,43.76990305767799
sport.bicycle,2603226,2370051,173051,60124,753921,8275757.66,305.804555493071
sport.diving,9384,9240,117,27,4890,4721.78,438.94914940162784
sport.ski,623352,595945,20030,7377,229275,787336.42,238.56845208858167
sport.snowboard,92171,89691,1873,607,38600,128200.37,227.66620904499092
sport.tennis,70133,67623,1931,579,30598,81803.9,105.35422272019211
sport.trainer,687015,662653,19212,5150,222751,1043414.5599999999,312.1846094227991
stationery.cartrige,64805,61546,2472,787,28205,75845.86,58.57622766030708
unknown,42502628,40753922,1253047,495659,8516531,62608388.3,175.49019952753287
