brand,events,views,carts,purchases,users_chunk_sum,revenue,avg_price
babor,15665,15261,290,114,5317,6770.81,53.34577623009254
baby,63,63,0,0,53,0.0,27.233474358974355
babyborn,495,469,19,7,284,612.8000000000001,86.66326551071984
babybotte,8385,8330,47,8,5383,259.46,35.938095063099645
babybrezza,31,30,1,0,20,0.0,360.37000000000006
babycare,1225,1156,47,22,858,916.74,41.67
babycarrier,345,339,6,0,213,0.0,240.91
babygo,2639,2604,25,10,1319,832.68,79.03774981413285
babyhit,1880,1864,11,5,1196,357.53,89.29654959783363
babykiss,4185,4144,22,19,2233,4118.59,213.49211355686532
babyline,3,3,0,0,3,0.0,4.35
babyliss,101923,97503,3158,1262,43771,79345.56999999999,62.873056379421
babylisspro,13290,12986,220,84,5310,6029.5,73.53272049670741
babylock,3073,3033,26,14,1839,22437.21,1611.3236923697532
babymoov,1335,1290,32,13,802,1585.64,129.7273285038524
babyono,2004,1949,37,18,1395,480.95,29.67087919502241
babys,5255,5056,146,53,2540,2304.75,43.41803461058175
babysinq,197,196,1,0,123,0.0,136.43
babyswing,21411,20282,812,317,10826,26042.52,82.1060829615201
babytime,51056,49389,1145,522,19732,32173.03,62.346502639301356
babywood,973,966,6,1,704,347.73,351.44153846153847
babyzen,18252,17423,522,307,8385,148573.46,498.9014574743757
babyzz,4302,4252,43,7,2463,1496.04,236.95811202975054
badboy,92,92,0,0,80,0.0,86.48679874213838
baden,535662,523253,9242,3167,227141,209847.04,67.47638596871356
badlandgames,11035,9787,974,274,6075,15013.23,57.18362395339764
bafang,5241,5231,6,4,3496,6114.76,1515.057455750801
bagdanoviceskijfarforyvyjzavod,451,449,2,0,336,0.0,64.1645267489712
bagira,17,16,1,0,9,0.0,23.17
baige,1281,1272,5,4,932,5148.12,1308.2410563380283
bair,3449,3383,47,19,1455,2241.96,121.88165470395559
bakugan,1622,1567,50,5,856,440.15,87.99044332640148
baldessarini,1772,1694,56,22,836,1227.11,55.52958201973357
balenciaga,74,74,0,0,55,0.0,228.83
ballarini,3411,3236,128,47,1749,1597.35,39.73482953295585
ballist-x,93,91,1,1,56,15.42,21.5625
ballistix,675,654,15,6,422,552.58,99.95347831728385
ballu,123408,117766,4147,1495,41798,75259.81999999999,57.62227448461
balmain,3135,3117,13,5,2028,1933.64,388.322374303671
balta,42475,41986,323,166,16256,12113.960000000001,73.65202637569686
baltekstil,58902,56891,1583,428,22583,43855.659999999996,114.07403287124399
balterio,898,869,28,1,419,16.39,10.963939437494062
baltgaz,420,403,13,4,215,1260.26,314.1990062111801
bambi,214,213,0,1,103,123.04,123.04
bambini,6418,6290,90,38,3268,4572.59,116.98126544533429
bambola,30984,29923,738,323,14030,15132.28,52.049722827783086
bamboo,166,164,0,2,124,178.12,89.06
banbao,1959,1926,27,6,1417,217.68,22.980003105707777
bandai,700,686,11,3,485,45.56,23.8005150263749
bandainamco,263,262,1,0,225,0.0,62.94974747474747
bandainamcoentertainment,392,371,18,3,296,189.18,63.06
banquet,47,46,1,0,35,0.0,24.71
baratto,4709,4637,54,18,2962,1460.53,71.345883645486
barbie,27458,26923,422,113,12390,4046.27,42.16312410651713
bardahl,18709,17895,614,200,9333,5311.29,26.80210667838542
barer,2871,2720,113,38,1554,412.79,13.679743026146657
barettoni,254,253,1,0,199,0.0,178.24725581906017
barhatnyjsezon,29,29,0,0,21,0.0,40.82857142857143
barmila,1039,1026,10,3,635,34.550000000000004,9.00905516468268
barneo,24403,23686,497,220,11852,15504.119999999999,69.47430849598996
barokko,5658,5531,95,32,3669,389.69,11.945468094649346
baroque,772,765,5,2,519,1694.6,635.1457898077111
barretoni,60,60,0,0,50,0.0,180.18
bars,113147,103511,6626,3010,39783,184532.09,61.48855678035332
bartek,25806,25003,624,179,11853,12484.05,69.30937319640553
bartplast,145,145,0,0,97,0.0,231.64
barty,4378,4132,189,57,2505,9450.82,133.9659471796264
barum,73,73,0,0,52,0.0,77.22
basaran,2303,2271,28,4,1472,667.71,93.09739200027971
baseus,25,25,0,0,21,0.0,28.31
basf,357,330,27,0,221,0.0,11.19596831955923
basharan,1006,993,9,4,683,1845.48,442.2999943003039
basic,5123,5078,34,11,2501,4326.72,421.57675289430483
basik,6037,5886,120,31,3628,619.53,20.23880521966411
basilico,15,15,0,0,13,0.0,2.78
bata,154,151,2,1,124,64.35,64.35
batik,2519,2472,36,11,1599,54.54,5.423239369452293
batiste,38,38,0,0,29,0.0,7.685705128205128
batman,10,10,0,0,9,0.0,20.57
battat,156,154,2,0,117,0.0,32.283810126582274
battipav,6135,5900,176,59,2720,19296.79,296.14845452343036
baudet,1479,1457,18,4,869,409.48,102.62811670249893
bauer,38927,37224,1249,454,18979,32326.59,65.93528172338675
baum,1036,1011,22,3,655,217.24,71.56741615070987
baw,147,143,3,1,83,55.34,55.34000000000001
bayer,1700,1657,31,12,905,334.27000000000004,27.475376373033914
bayerdolls,1012,954,43,15,620,388.26,25.500487639000482
bayerlux,391,388,2,1,285,41.16,41.16
baymak,148,148,0,0,90,0.0,878.0170062358277
bazhou,1337,1337,0,0,821,0.0,440.6807224266218
bbk,9660,9276,259,125,4783,6925.12,64.27007798836335
bburago,16785,16380,300,105,9107,2311.54,23.257331880467312
bd,233,233,0,0,176,0.0,74.61558210784312
bdsmaschinengmbh,67,67,0,0,46,0.0,1679.2437523809524
beaba,153,147,4,2,114,290.6,87.94919391025643
beanzeez,25,25,0,0,23,0.0,15.7
beats,24276,23715,388,173,12301,43358.909999999996,258.40578742412606
beauraing,70,70,0,0,69,0.0,50.45
beautyblender,148,135,11,2,80,35.52,17.76
beautycreations,5374,4998,302,74,3214,730.53,9.175882592902905
beautyvisage,179,175,3,1,143,1.16,1.16
bebeconfort,33,33,0,0,26,0.0,20.49
becker,371,367,0,4,227,3487.86,952.7960531604535
beeline,9985,9001,768,216,4376,7726.7,43.284215849367776
befirst,104,100,4,0,46,0.0,11.58
behramhali,16,16,0,0,11,0.0,62.79757575757575
behringer,8886,8703,154,29,3697,6977.52,246.2345449925878
beijing,522,504,13,5,322,358.74,79.49309973751579
beisier,1359,1329,24,6,980,285.71999999999997,47.62
beko,750560,706743,31571,12246,284830,2874088.29,259.4685230450378
bekzatsport,1707,1659,33,15,838,2895.88,213.1815756948392
bel,36,35,0,1,25,8.03,8.03
bela,3347,3267,64,16,1775,248.14999999999998,16.463078793250954
belaakalitva,373,367,6,0,237,0.0,20.816540225350973
belashoff,18966,18521,342,103,7332,3212.58,35.80124532314896
belavtokomplekt,1,1,0,0,1,0.0,43.28
belcat,501,489,10,2,328,229.09,120.15585833353639
belecoo,184489,177385,4972,2132,58604,253617.73,124.34192116870987
belezza,28,28,0,0,22,0.0,19.378382352941177
belgia,156,155,1,0,127,0.0,52.64
belis,97,96,1,0,63,0.0,37.609817927170866
beliss,60,59,1,0,34,0.0,6.8365625
belissimo,2,2,0,0,1,0.0,59.1
belka,944,931,10,3,610,406.69000000000005,166.09858957928643
belkin,476,464,4,8,360,108.39999999999999,15.361337241497017
bella,498,487,10,1,370,1222.68,1222.68
bellamebel,7938,7776,124,38,4912,39554.32,1019.3125766089698
belletti,334,330,4,0,241,0.0,104.39320412331031
bellissimaimetec,1,1,0,0,1,0.0,87.44
belsina,44,44,0,0,32,0.0,47.98598639455782
belux,800,788,9,3,470,1048.1599999999999,567.6521771823044
belyjedinorog,4,4,0,0,4,0.0,9.4
bene,66533,64368,1636,529,33150,10966.86,19.326414414505404
benebaby,3594,3444,108,42,1954,4321.82,103.12057412398921
benq,1903,1892,10,1,1109,77.99,274.408590096368
bentley,1308,1259,31,18,718,2634.08,181.87044090928802
berber,1369,1359,8,2,915,33.6,16.113775253205
berdsk,29,28,1,0,22,0.0,27.87525396825397
bergamo,3,3,0,0,3,0.0,10.3
bergauf,131,131,0,0,63,0.0,5.169786294434732
berger,161,161,0,0,122,0.0,202.67972972972973
berghoff,75109,73349,1364,396,37076,27041.829999999998,78.60617849028321
bergner,43952,42866,811,275,25625,13060.12,40.46100141153574
berkley,1579,1556,18,5,838,74.82,14.965948577668486
berkut,10470,10380,59,31,5906,7786.61,226.65880966048186
berlinger,1487,1417,52,18,649,2176.07,117.51855957130884
berlingerhaus,10280,9568,504,208,5174,11565.3,40.11702490081648
bernina,34636,33258,982,396,11937,206505.49,672.4966179425644
berossi,153,153,0,0,108,0.0,36.640003685503686
bertoni,32784,31815,638,331,15595,19182.82,59.11713543129993
bertonilorelli,74,74,0,0,58,0.0,23.68
beru,51,50,1,0,32,0.0,3.09
besafe,563,540,16,7,248,1230.43,201.1807728746663
bessey,996,980,13,3,604,69.03,28.718059472961677
best,23,23,0,0,17,0.0,356.4024444444445
bestlife,356,344,6,6,211,75.43,14.143332611832612
bestoy,33777,30934,1907,936,17132,59072.659999999996,62.26148340453988
bestway,80226,78823,1073,330,34535,27421.06,227.3350726466594
besty,14465,13974,365,126,8211,1359.01,13.205024413258371
bethesda,7181,6977,158,46,4775,1090.93,24.165283675279724
betsy,3943,3942,0,1,2171,42.19,42.90927806406212
beurer,3630,3564,52,14,2213,992.89,76.1886797320332
beyblade,2041,1991,42,8,1140,453.9,52.525791782287726
beyerdynamic,8052,7712,247,93,3549,12271.55,138.16086299621688
beyonce,560,542,12,6,314,138.92000000000002,23.912742353279775
beyond,13133,12367,573,193,5449,2414.17,13.090555481707579
bfgoodrich,53691,51156,1985,550,29297,62345.44,133.67383391426065
bfsnowboards,341,315,18,8,203,3498.64,364.51228571428567
bfz,606,601,4,1,450,39.03,41.29992366412214
bibalina,5001,4782,178,41,3278,769.45,17.866265703858744
bielita,129,121,8,0,72,0.0,2.7589499458874456
biema,364,364,0,0,188,0.0,859.714809131525
biemmedue,584,581,3,0,426,0.0,173.47553228478392
big,73,70,2,1,57,2.96,35.89450638792102
bigben,573,566,4,3,462,141.55,51.50942973267608
bigdream,12,12,0,0,10,0.0,8.235555555555557
bigfigures,15,15,0,0,11,0.0,22.34
bigklever,23,21,2,0,16,0.0,2.04375
bildo,779,768,9,2,573,77.84,28.545267910435648
billi,673,661,9,3,478,23.35,7.691867854012086
binatone,395,391,3,1,253,153.26,149.30642013542013
bio-oil,431,426,3,2,286,30.57,10.11388679600628
bio-tekstil,340,332,6,2,165,57.46,23.576500130289766
bioderma,19785,19147,475,163,7179,2598.26,16.75919926316605
biography,107,107,0,0,75,0.0,49.16
biol,575,566,8,1,431,13.39,93.2305919435525
biolage,12,12,0,0,10,0.0,14.110000000000001
biolane,2183,2081,85,17,1150,112.86,7.073323249192835
bioline,3,3,0,0,3,0.0,9.65
biomecanics,9423,9295,98,30,5787,1613.13,50.89733545390549
bionime,629,587,30,12,336,242.88,20.24
biostar,2315,2291,11,13,1346,662.02,63.49779998696687
biotech,6241,6075,116,50,2952,2581.58,64.26286008304724
biotherm,927,899,24,4,400,129.29,30.816828738849374
biovea,1038,1003,25,10,512,193.7,20.7836122663566
biovise,83,82,1,0,50,0.0,10.81
bioworld,1697,1627,60,10,895,30.64,3.519520181106966
birusa,15338,14241,874,223,6794,56253.2,237.27508854811302
bisou,2212,2112,92,8,1310,36.49,3.6287122194001635
bissell,4782,4692,68,22,2715,8170.98,388.0996689650789
biwec,6132,5965,130,37,3350,4085.93,174.54038943070938
bkf,442,426,15,1,292,346.16,346.3591473214286
blackberry,9427,9329,61,37,5192,11348.189999999999,219.01322985313192
blackbox,16282,15649,481,152,8695,16894.46,125.62415179199822
blackdecker,3398,3348,42,8,2083,331.42,39.47660708119247
blackmores,591,586,4,1,330,40.39,39.64282130770533
blackview,4,4,0,0,4,0.0,101.0325
blackvue,8044,7956,64,24,3917,9844.18,448.21577588826244
blam,5985,5954,22,9,3580,6284.6,911.8251363942582
blanco,3833,3796,30,7,2198,1267.92,218.31630736395053
blaster,839,803,26,10,403,308.62,30.99840648990948
blauberg,452,430,19,3,241,51.09,17.03
blaumann,574,564,6,4,418,172.47,48.17914137591235
blaupunkt,25189,24240,759,190,11637,56384.58,306.9909033041317
blenderbottle,1051,1028,12,11,610,254.09,23.31720455505911
blg,59,59,0,0,49,0.0,1601.267
blitz,10,10,0,0,9,0.0,12.87
bloomsbury,379,348,21,10,238,152.77,15.470154090354091
bluedio,1741,1688,42,11,783,429.62,60.781866777307805
blueseven,8953,8873,65,15,5483,687.5600000000001,46.28271762939357
bluesonic,1602,1589,9,4,1053,275.93,76.23836645939328
blumarine,1578,1498,63,17,735,622.6,33.15479283061972
blw,88,88,0,0,58,0.0,22.79443181818182
bmw,21988,20835,922,231,10595,16868.600000000002,93.0877755073377
boarteks,1130,1116,12,2,674,63.150000000000006,31.17247885012783
boccia,59104,58019,769,316,23070,36497.72,179.7255792321457
bochetti,6608,6447,122,39,3710,4575.03,120.11182346348058
body-solid,987,984,3,0,807,0.0,397.2812795275591
bodykraft,8,8,0,0,7,0.0,54.03000000000001
bodysculpture,30385,28982,1082,321,13935,99415.61,277.81038580705956
bodysolid,276,274,2,0,216,0.0,283.95576906482324
bogates,179,175,3,1,122,56.63,74.78445918066608
bohemia,23132,22915,176,41,11460,3779.83,208.71398902021554
bohemian,547,538,6,3,388,271.04999999999995,90.35
bohmann,8,8,0,0,7,0.0,44.76
bomann,2,2,0,0,1,0.0,147.47
bombbar,2294,2190,79,25,1247,573.29,25.350629230489645
bombcat,252,248,3,1,161,13.18,13.18
bomberg,2064,2061,3,0,1119,0.0,1468.9227435356145
bombora,1391,1224,143,24,834,191.61999999999998,10.102042738947022
bompani,584,583,1,0,419,0.0,519.6581277031049
bona,667,659,7,1,442,76.62,86.98611341823552
bond,1288,1229,41,18,755,417.06000000000006,23.17
bondibon,285,283,2,0,185,0.0,19.691964714432107
boneco,11890,11561,232,97,4962,15036.28,161.89692400597824
bonita,1753,1709,30,14,1097,124.32000000000001,8.88
bonvini,620,599,15,6,357,6239.54,1066.4153941705092
booil,1106,1078,23,5,427,2133.98,630.2206650220817
borasco,1907,1815,75,17,1238,91.89,5.4369759503524095
borinskoe,28,28,0,0,16,0.0,556.1980769230769
bork,24000,23426,386,188,10631,81352.57,486.27042192061896
borovici,1816,1775,29,12,1104,2146.68,161.93849128422139
bort,315,306,8,1,141,59.12,61.89563999734509
bosch,2276589,2192035,62975,21579,715441,4718375.58,264.6371680518243
bose,21876,21505,281,90,11610,35599.369999999995,423.0461130251342
bosh,125,124,1,0,93,0.0,234.90999999999997
bosher,11117,10517,404,196,5804,31540.42,215.23481054086852
bosnic,428,420,7,1,235,20.57,18.451883366633368
boss,503,491,8,4,267,1007.5999999999999,253.89769756755894
bossh,401,399,2,0,233,0.0,168.60793866556722
bot,452,451,0,1,322,6.31,4.970745669624196
botanica,58,58,0,0,45,0.0,2.799714285714286
botas,19430,18638,584,208,7864,16713.21,79.83890532194911
boto,1860,1710,105,45,1086,5535.05,128.7953815512342
botticelli,97,97,0,0,81,0.0,462.45820845481046
boucheron,1084,1052,19,13,551,595.42,50.443411425878146
bouncin,131,129,0,2,106,82.38,25.825889929742388
bourjois,17206,16292,642,272,8348,2560.4,9.588740491174125
bovidix,13621,13370,198,53,9582,2398.58,31.724914858900252
boyscout,20488,19914,457,117,10217,978.22,7.214811891968413
bozhi,146,135,7,4,77,27.28,7.174935157041539
bq,282957,273681,6996,2280,108810,124180.88,64.16411346068806
bra,593,591,1,1,403,42.99,61.910548913558785
brabix,104,104,0,0,73,0.0,221.73922180451126
bradex,11842,11190,488,164,5860,3717.6,26.114991671547916
brahner,988,951,18,19,598,1933.11,108.33309012416487
brain,33,33,0,0,18,0.0,37.67
branq,9,8,1,0,5,0.0,61.1215
brateck,22202,20734,1198,270,8453,4859.66,35.14387540508639
bratz,1,1,0,0,1,0.0,17.76
brauberg,108,108,0,0,80,0.0,113.68815217391304
braumauto,189,189,0,0,172,0.0,91.22113553113553
braun,497867,471108,19530,7229,176878,684999.47,106.84971574049774
bravat,4244,4107,105,32,1948,4085.39,148.59653610452085
bravis,668,650,12,6,449,120.64,24.321238523123647
bravo,15674,15355,260,59,8916,1000.5899999999999,17.283663927307586
breezeboat,1344,1341,2,1,883,125.52,125.52
bresser,5608,5568,30,10,3418,2688.0299999999997,281.76831368425076
brevi,2288,2271,15,2,1643,151.87,236.83637020336215
bridgestone,121228,113685,5717,1826,60999,269040.52999999997,123.54861491068802
briknik,31,31,0,0,20,0.0,6.46425925925926
brisk,198,191,7,0,111,0.0,3.35
brita,426,410,12,4,246,82.80000000000001,17.79453629534164
britaxromer,100,97,2,1,44,442.71,413.96039950525665
britneyspears,54,54,0,0,36,0.0,22.777142857142856
britop,8,8,0,0,6,0.0,30.89
briverre,20,20,0,0,18,0.0,2.47
brizoll,3008,2967,34,7,1487,203.82999999999998,28.69342892796239
brkpress,2060,1857,170,33,1118,428.34999999999997,12.981809418603637
bro,1963,1931,24,8,1104,490.47,63.86369819357762
broomer,9802,9714,65,23,6931,8605.07,391.36225414098203
brother,62514,60007,1939,568,19057,158546.59,266.2599655595668
bruder,63552,62456,994,102,37566,6703.1,60.979994290203514
brumer,1963,1919,30,14,1439,1981.98,141.57
brw,652966,643425,6639,2902,268048,660367.95,264.610666838976
bsa-wheels,10678,10175,430,73,6839,22572.19,310.48436989827565
bsf,20,20,0,0,15,0.0,266.61091666666664
bsn,14482,13769,459,254,6004,13929.41,53.86670657946567
bts,394979,386898,5684,2397,206776,596083.76,267.37704348540586
btwin,691,675,15,1,396,180.18,210.46680584415583
bubble,28,28,0,0,24,0.0,7.870000000000001
buderus,9407,9117,236,54,4019,43505.19,1042.5035529950414
budibasa,691,675,12,4,476,57.59,16.11799818855281
buebchen,100,100,0,0,97,0.0,6.394583333333333
bueno,406,397,8,1,230,27.03,18.003949283949286
buffalo,684,680,3,1,467,772.22,537.772924263056
bugaboo,2625,2583,29,13,1472,8825.52,667.2829702036242
bugati,2393,2375,9,9,1398,2170.64,248.3758726718635
bugatti,6891,6804,68,19,4489,3351.9,154.44846294750255
buggy,14996,14347,486,163,5987,31677.66,245.657463065904
build-a-bear,48,45,3,0,36,0.0,35.34
built-inoven,3137,3085,41,11,1785,1343.87,133.26142288462086
buldors,92,92,0,0,76,0.0,208.03531666666666
bulgari,39968,37788,1525,655,17386,45156.75,69.21579678308339
bulin,520,516,3,1,412,579.17,579.17
bulova,191,191,0,0,133,0.0,677.49
bumbaram,117,117,0,0,93,0.0,4.752686600221485
bumbleride,5575,5511,46,18,3328,7675.469999999999,406.9644368085596
bumprider,7,7,0,0,7,0.0,93.26
bunchems,47,46,1,0,20,0.0,31.662916666666668
burberry,8599,8306,199,94,3463,5680.14,58.56820767744939
burgerschuhe,41228,40657,366,205,25752,20752.5,89.1887338952181
burna,2,2,0,0,2,0.0,154.19
burokrat,105,105,0,0,61,0.0,123.01529517704519
burton,22380,21876,357,147,9693,43579.759999999995,299.31365823872346
bushnell,4695,4660,22,13,2376,2599.46,160.9390915808758
butterfly,1894,1875,15,4,834,247.05,66.6544599273059
buttonblue,952,939,10,3,646,15.68,5.176997571199087
bvlgari,574,572,2,0,441,0.0,348.20130543188304
bwell,3247,3137,89,21,1999,1189.23,56.63
bws,512,512,0,0,371,0.0,36.04
bwt,541,534,6,1,274,18.34,36.15707492057163
bxg,228,228,0,0,184,0.0,43.22743728222997
byintek,4669,4612,22,35,2654,6243.25,241.87730572563547
bykilian,1991,1891,76,24,982,1634.53,56.51340809853361
byredo,6332,6152,120,60,3203,13160.85,224.55088902797593
bytplast,4,3,1,0,2,0.0,64.54
cablexpert,10082,9966,84,32,7325,1077.05,27.647511337141154
cacharel,7301,6915,275,111,3013,4274.57,42.001332434943905
cadelvetro,3501,3433,57,11,1564,535.93,50.830378145271844
cadillac,75,75,0,0,58,0.0,60.95
cafemimi,3590,3497,78,15,2050,47.61,2.4774347892069155
cailyn,1273,1221,39,13,689,356.91999999999996,29.487995681168034
caiman,248,248,0,0,181,0.0,959.1000000000001
calgaro,2816,2811,5,0,2067,0.0,1106.7764818504756
callida,498,495,3,0,312,0.0,39.8111317341731
calligrata,1778,1752,24,2,1137,123.38999999999999,62.27610418369786
calorie,7337,7104,172,61,3537,1765.09,29.294250971754153
calve,5835,5680,101,54,3853,1429.13,26.08414718441688
calvinklein,1255,1222,24,9,727,1797.09,311.0706744428989
calypso,515,509,3,3,324,161.14,43.823335225525696
cam,2490,2459,24,7,1456,2130.8199999999997,306.5625305873461
camelion,317,316,1,0,209,0.0,6.332188451571104
cameo,1102,1088,13,1,569,256.62,266.69570979700177
cameron,949,939,9,1,677,14.59,359.3972135379638
